,__id__,awayTeam,gameState,homeTeam,id,sbId,awayDiff,awayOutcome,dateTime,homeDiff,homeOutcome,score,sport,total,awayOdds,awaySpread,awaySpreadOdds,homeOdds,homeSpread,homeSpreadOdds,over,overOdds,under,underOdds
0,ATLMIA4222022,Miami Heat,Final,Atlanta Hawks,ATLMIA4222022,18061,-1.0,L,2022-04-22T19:00:00,1.0,W,111-110,nba,221.0,-115,-1.5,100,115,1.5,100,222.0,100,222.0,100
1,ATLMIA4242022,Miami Heat,Final,Atlanta Hawks,ATLMIA4242022,18063,24.0,W,2022-04-24T19:00:00,-24.0,L,86-110,nba,196.0,-115,-1.5,100,115,1.5,100,220.5,100,220.5,100
2,BKNBOS4232022,Boston Celtics,Final,Brooklyn Nets,BKNBOS4232022,18030,6.0,W,2022-04-23T19:30:00,-6.0,L,103-109,nba,212.0,160,4.0,100,-160,-4.0,100,223.0,100,223.0,100
3,BKNBOS4252022,Boston Celtics,Final,Brooklyn Nets,BKNBOS4252022,18036,4.0,W,2022-04-25T19:00:00,-4.0,L,112-116,nba,228.0,110,1.5,100,-110,-1.5,100,221.5,100,221.5,100
4,BOSBKN4202022,Brooklyn Nets,Final,Boston Celtics,BOSBKN4202022,18023,-7.0,L,2022-04-20T19:00:00,7.0,W,114-107,nba,221.0,140,3.5,100,-140,-3.5,100,225.0,100,225.0,100
5,CHIMIL4222022,Milwaukee Bucks,Final,Chicago Bulls,CHIMIL4222022,18029,30.0,W,2022-04-22T20:30:00,-30.0,L,81-111,nba,192.0,-130,-2.5,100,130,2.5,100,222.0,100,222.0,100
6,CHIMIL4242022,Milwaukee Bucks,Final,Chicago Bulls,CHIMIL4242022,18034,24.0,W,2022-04-24T13:00:00,-24.0,L,95-119,nba,214.0,-170,-4.5,100,170,4.5,100,219.5,100,219.5,100
7,DALUTA4182022,Utah Jazz,Final,Dallas Mavericks,DALUTA4182022,18020,-6.0,L,2022-04-18T20:30:00,6.0,W,110-104,nba,214.0,-185,-5.0,100,185,5.0,100,205.5,100,205.5,100
8,DALUTA4252022,Utah Jazz,Final,Dallas Mavericks,DALUTA4252022,18037,-25.0,L,2022-04-25T21:30:00,25.0,W,102-77,nba,179.0,140,3.0,100,-140,-3.0,100,212.5,100,212.5,100
9,DENGS4212022,Golden State Warriors,Final,Denver Nuggets,DENGS4212022,18028,5.0,W,2022-04-21T22:00:00,-5.0,L,113-118,nba,231.0,-125,-2.5,100,125,2.5,100,222.5,100,222.5,100
10,DENGS4242022,Golden State Warriors,Final,Denver Nuggets,DENGS4242022,18035,-5.0,L,2022-04-24T15:30:00,5.0,W,126-121,nba,247.0,-180,-5.0,100,180,5.0,100,224.0,100,224.0,100
11,GSDEN4182022,Denver Nuggets,Final,Golden State Warriors,GSDEN4182022,18021,-20.0,L,2022-04-18T22:00:00,20.0,W,126-106,nba,232.0,260,7.0,100,-260,-7.0,100,222.0,100,222.0,100
12,GSDEN4272022,Denver Nuggets,Final,Golden State Warriors,GSDEN4272022,18042,-4.0,L,2022-04-27T22:00:00,4.0,W,102-98,nba,200.0,335,8.5,100,-335,-8.5,100,225.5,100,225.5,100
13,MEMMIN4192022,Minnesota Timberwolves,Final,Memphis Grizzlies,MEMMIN4192022,18022,-28.0,L,2022-04-19T20:30:00,28.0,W,124-96,nba,220.0,255,7.5,100,-255,-7.5,100,240.5,100,240.5,100
14,MEMMIN4262022,Minnesota Timberwolves,Final,Memphis Grizzlies,MEMMIN4262022,18039,-2.0,L,2022-04-26T19:30:00,2.0,W,111-109,nba,220.0,230,6.5,100,-230,-6.5,100,231.5,100,231.5,100
15,MIAATL4192022,Atlanta Hawks,Final,Miami Heat,MIAATL4192022,18059,-10.0,L,2022-04-19T19:30:00,10.0,W,115-105,nba,220.0,290,8.0,100,-290,-8.0,100,221.5,100,221.5,100
16,MIAATL4262022,Atlanta Hawks,Final,Miami Heat,MIAATL4262022,18065,-3.0,L,2022-04-26T19:00:00,3.0,W,97-94,nba,191.0,170,4.5,100,-170,-4.5,100,215.5,100,215.5,100
17,MILCHI4172022,Chicago Bulls,Final,Milwaukee Bucks,MILCHI4172022,18016,-7.0,L,2022-04-17T18:30:00,7.0,W,93-86,nba,179.0,450,10.5,100,-450,-10.5,100,230.0,100,230.0,100
18,MILCHI4202022,Chicago Bulls,Final,Milwaukee Bucks,MILCHI4202022,18025,4.0,W,2022-04-20T21:30:00,-4.0,L,110-114,nba,224.0,415,10.0,100,-415,-10.0,100,225.0,100,225.0,100
19,MILCHI4272022,Chicago Bulls,Final,Milwaukee Bucks,MILCHI4272022,18041,-16.0,L,2022-04-27T19:30:00,16.0,W,116-100,nba,216.0,635,12.5,100,-635,-12.5,100,217.5,100,217.5,100
20,MINMEM4212022,Memphis Grizzlies,Final,Minnesota Timberwolves,MINMEM4212022,18026,9.0,W,2022-04-21T19:30:00,-9.0,L,95-104,nba,199.0,-125,-2.5,100,125,2.5,100,237.0,100,237.0,100
21,MINMEM4232022,Memphis Grizzlies,Final,Minnesota Timberwolves,MINMEM4232022,18031,-1.0,L,2022-04-23T22:00:00,1.0,W,119-118,nba,237.0,-130,-2.5,100,130,2.5,100,232.0,100,232.0,100
22,MINMEM4292022,Memphis Grizzlies,Final,Minnesota Timberwolves,MINMEM4292022,18046,8.0,W,2022-04-29T21:00:00,-8.0,L,106-114,nba,220.0,-115,-2.0,100,115,2.0,100,229.5,100,229.5,100
23,NOPHO4222022,Phoenix Suns,Final,New Orleans Pelicans,NOPHO4222022,18062,3.0,W,2022-04-22T21:30:00,-3.0,L,111-114,nba,225.0,-125,-2.5,100,125,2.5,100,215.5,100,215.5,100
24,NOPHO4242022,Phoenix Suns,Final,New Orleans Pelicans,NOPHO4242022,18064,-15.0,L,2022-04-24T21:30:00,15.0,W,118-103,nba,221.0,-125,-2.5,100,125,2.5,100,215.5,100,215.5,100
25,NOPHO4282022,Phoenix Suns,Final,New Orleans Pelicans,NOPHO4282022,18068,6.0,W,2022-04-28T19:30:00,-6.0,L,109-115,nba,224.0,-145,-3.5,100,145,3.5,100,216.0,100,216.0,100
26,PHITOR4182022,Toronto Raptors,Final,Philadelphia 76ers,PHITOR4182022,18019,-15.0,L,2022-04-18T19:30:00,15.0,W,112-97,nba,209.0,280,7.5,100,-280,-7.5,100,216.5,100,216.5,100
27,PHITOR4252022,Toronto Raptors,Final,Philadelphia 76ers,PHITOR4252022,18038,15.0,W,2022-04-25T20:00:00,-15.0,L,88-103,nba,191.0,320,8.5,100,-320,-8.5,100,211.5,100,211.5,100
28,PHONO4172022,New Orleans Pelicans,Final,Phoenix Suns,PHONO4172022,18058,-11.0,L,2022-04-17T21:00:00,11.0,W,110-99,nba,209.0,445,10.5,100,-445,-10.5,100,224.0,100,224.0,100
29,PHONO4192022,New Orleans Pelicans,Final,Phoenix Suns,PHONO4192022,18060,11.0,W,2022-04-19T22:00:00,-11.0,L,114-125,nba,239.0,420,9.5,100,-420,-9.5,100,222.0,100,222.0,100
30,PHONO4262022,New Orleans Pelicans,Final,Phoenix Suns,PHONO4262022,18066,-15.0,L,2022-04-26T22:00:00,15.0,W,112-97,nba,209.0,215,6.0,100,-215,-6.0,100,216.0,100,216.0,100
31,TORPHI4202022,Philadelphia 76ers,F/OT,Toronto Raptors,TORPHI4202022,18024,3.0,W,2022-04-20T20:00:00,-3.0,L,101-104,nba,205.0,-120,-2.0,100,120,2.0,100,216.5,100,216.5,100
32,TORPHI4232022,Philadelphia 76ers,Final,Toronto Raptors,TORPHI4232022,18032,-8.0,L,2022-04-23T14:00:00,8.0,W,110-102,nba,212.0,-130,-2.5,100,130,2.5,100,212.5,100,212.5,100
33,TORPHI4282022,Philadelphia 76ers,Final,Toronto Raptors,TORPHI4282022,18044,35.0,W,2022-04-28T19:00:00,-35.0,L,97-132,nba,229.0,-105,-1.0,100,105,1.0,100,209.5,100,209.5,100
34,UTADAL4212022,Dallas Mavericks,Final,Utah Jazz,UTADAL4212022,18027,8.0,W,2022-04-21T21:00:00,-8.0,L,118-126,nba,244.0,315,8.5,100,-315,-8.5,100,208.0,100,208.0,100
35,UTADAL4232022,Dallas Mavericks,Final,Utah Jazz,UTADAL4232022,18033,-1.0,L,2022-04-23T16:30:00,1.0,W,100-99,nba,199.0,200,5.5,100,-200,-5.5,100,214.0,100,214.0,100
36,UTADAL4282022,Dallas Mavericks,Final,Utah Jazz,UTADAL4282022,18043,2.0,W,2022-04-28T22:00:00,-2.0,L,96-98,nba,194.0,-105,-1.0,100,105,1.0,100,210.5,100,210.5,100
